energy,mu_rho,muen_rho,element,tag
0.004,850.7,834.4,Zr,
0.005,475.5,466.4,Zr,
0.006,293.5,287.3,Zr,
0.008,135.6,132.0,Zr,
0.01,74.17,71.5,Zr,
0.015,24.63,23.08,Zr,
0.0179976,15.01,13.8,Zr,
0.0179976,94.7,41.64,Zr,K
0.02,72.37,35.55,Zr,
0.03,24.85,16.0,Zr,
0.04,11.39,8.129,Zr,
0.05,6.173,4.621,Zr,
0.06,3.744,2.859,Zr,
0.08,1.721,1.31,Zr,
0.1,0.9658,0.708,Zr,
0.15,0.379,0.2361,Zr,
0.2,0.2237,0.1164,Zr,
0.3,0.1318,0.0542,Zr,
0.4,0.1018,0.03885,Zr,
0.5,0.08693,0.03311,Zr,
0.6,0.07756,0.03025,Zr,
0.8,0.06571,0.02726,Zr,
1.0,0.0581,0.02547,Zr,
1.25,0.0515,0.0238,Zr,
1.5,0.047,0.02257,Zr,
2.0,0.04146,0.02112,Zr,
3.0,0.03644,0.02033,Zr,
4.0,0.03451,0.02061,Zr,
5.0,0.03384,0.02123,Zr,
6.0,0.03374,0.02193,Zr,
8.0,0.03441,0.02335,Zr,
10.0,0.03554,0.0246,Zr,
15.0,0.03855,0.0267,Zr,
20.0,0.04122,0.02778,Zr,
0.001,4600.0,4592.0,Nb,
0.0015,1786.0,1780.0,Nb,
0.002,889.3,883.2,Nb,
0.0023705,584.4,578.6,Nb,
0.0023705,2181.0,2125.0,Nb,L3
0.00241714,2045.0,1992.0,Nb,
0.0024647,1935.0,1886.0,Nb,
0.0024647,2694.0,2619.0,Nb,L2
0.00257857,2412.0,2347.0,Nb,
0.0026977,2161.0,2104.0,Nb,
0.0026977,2470.0,2405.0,Nb,L1
0.003,1906.0,1859.0,Nb,
0.004,916.4,897.0,Nb,
0.005,513.4,502.7,Nb,
0.006,317.2,310.3,Nb,
0.008,146.9,142.9,Nb,
0.01,80.38,77.54,Nb,
0.015,26.72,25.08,Nb,
0.0189856,14.09,12.91,Nb,
0.0189856,87.84,37.46,Nb,K
0.02,77.12,34.93,Nb,
0.03,26.66,16.48,Nb,
0.04,12.23,8.511,Nb,
0.05,6.644,4.884,Nb,
0.06,4.032,3.04,Nb,
0.08,1.852,1.403,Nb,
0.1,1.037,0.7608,Nb,
0.15,0.4023,0.2542,Nb,
0.2,0.2344,0.1247,Nb,
0.3,0.1357,0.05705,Nb,
0.4,0.104,0.04026,Nb,
0.5,0.08831,0.03396,Nb,
0.6,0.07858,0.03085,Nb,
0.8,0.06642,0.02764,Nb,
1.0,0.05866,0.02575,Nb,
1.25,0.05196,0.02402,Nb,
1.5,0.04741,0.02276,Nb,
2.0,0.04185,0.0213,Nb,
3.0,0.03686,0.02054,Nb,
4.0,0.03498,0.02086,Nb,
5.0,0.03436,0.02153,Nb,
6.0,0.03432,0.02227,Nb,
8.0,0.03508,0.02375,Nb,
10.0,0.03628,0.02503,Nb,
15.0,0.03944,0.02718,Nb,
20.0,0.04224,0.02828,Nb,
0.001,4942.0,4935.0,Mo,
0.0015,1925.0,1918.0,Mo,
0.002,959.3,953.1,Mo,
0.0025202,541.5,535.8,Mo,
0.0025202,1979.0,1924.0,Mo,L3
0.00257212,1854.0,1802.0,Mo,
0.0026251,1750.0,1703.0,Mo,
0.0026251,2433.0,2360.0,Mo,L2
0.00274267,2183.0,2119.0,Mo,
0.0028655,1961.0,1906.0,Mo,
0.0028655,2243.0,2179.0,Mo,L1
0.003,2011.0,1956.0,Mo,
0.004,970.3,947.5,Mo,
0.005,545.0,532.8,Mo,
0.006,337.3,329.5,Mo,
0.008,156.5,152.2,Mo,
0.01,85.76,82.75,Mo,
0.015,28.54,26.84,Mo,
0.0199995,13.08,11.93,Mo,
0.0199995,80.55,32.93,Mo,K
0.02,80.54,33.36,Mo,
0.03,28.1,16.64,Mo,
0.04,12.94,8.757,Mo,
0.05,7.037,5.074,Mo,
0.06,4.274,3.178,Mo,
0.08,1.962,1.477,Mo,
0.1,1.096,0.8042,Mo,
0.15,0.4208,0.2693,Mo,
0.2,0.2423,0.1316,Mo,
0.3,0.1379,0.05919,Mo,
0.4,0.1047,0.04117,Mo,
0.5,0.08848,0.03437,Mo,
0.6,0.07851,0.03104,Mo,
0.8,0.06619,0.02764,Mo,
1.0,0.05837,0.02567,Mo,
1.25,0.05167,0.0239,Mo,
1.5,0.04713,0.02263,Mo,
2.0,0.04163,0.02118,Mo,
3.0,0.03675,0.02046,Mo,
4.0,0.03496,0.02084,Mo,
5.0,0.03439,0.02153,Mo,
6.0,0.0344,0.02231,Mo,
8.0,0.03523,0.02382,Mo,
10.0,0.0365,0.02513,Mo,
15.0,0.03978,0.02731,Mo,
20.0,0.04264,0.0284,Mo,
0.001,5356.0,5348.0,Tc,
0.0015,2092.0,2085.0,Tc,
0.002,1044.0,1037.0,Tc,
0.0026769,507.2,501.4,Tc,
0.0026769,1812.0,1758.0,Tc,L3
0.00273443,1699.0,1648.0,Tc,
0.0027932,1602.0,1555.0,Tc,
0.0027932,2223.0,2151.0,Tc,L2
0.003,1862.0,1805.0,Tc,
0.0030425,1800.0,1745.0,Tc,
0.0030425,2059.0,1995.0,Tc,L1
0.004,1036.0,1009.0,Tc,
0.005,583.6,569.4,Tc,
0.006,361.9,353.0,Tc,
0.008,168.3,163.5,Tc,
0.01,92.31,89.08,Tc,
0.015,30.76,28.98,Tc,
0.02,14.1,12.9,Tc,
0.021044,12.29,11.17,Tc,
0.021044,74.81,30.14,Tc,K
0.03,29.93,16.93,Tc,
0.04,13.81,9.075,Tc,
0.05,7.521,5.312,Tc,
0.06,4.571,3.348,Tc,
0.08,2.099,1.568,Tc,
0.1,1.169,0.8572,Tc,
0.15,0.4449,0.288,Tc,
0.2,0.2534,0.1403,Tc,
0.3,0.1418,0.06214,Tc,
0.4,0.1066,0.04257,Tc,
0.5,0.08968,0.03521,Tc,
0.6,0.07935,0.03159,Tc,
0.8,0.06674,0.02797,Tc,
1.0,0.05876,0.02589,Tc,
1.25,0.05197,0.02406,Tc,
1.5,0.0474,0.02276,Tc,
2.0,0.04189,0.02129,Tc,
3.0,0.03705,0.02061,Tc,
4.0,0.03532,0.02103,Tc,
5.0,0.03482,0.02178,Tc,
6.0,0.03487,0.02258,Tc,
8.0,0.03578,0.02415,Tc,
10.0,0.03712,0.02549,Tc,
15.0,0.04055,0.02774,Tc,
20.0,0.04353,0.02884,Tc,
0.001,5718.0,5709.0,Ru,
0.0015,2240.0,2233.0,Ru,
0.002,1120.0,1113.0,Ru,
0.0028379,470.4,464.6,Ru,
0.0028379,1644.0,1591.0,Ru,L3
0.00290168,1542.0,1492.0,Ru,
0.0029669,1452.0,1407.0,Ru,
0.0029669,2317.0,2233.0,Ru,L2
0.003,1963.0,1894.0,Ru,
0.003224,1638.0,1584.0,Ru,
0.003224,1874.0,1811.0,Ru,L1
0.004,1095.0,1063.0,Ru,
0.005,616.5,600.0,Ru,
0.006,383.2,373.1,Ru,
0.008,178.5,173.3,Ru,
0.01,98.0,94.56,Ru,
0.015,32.7,30.85,Ru,
0.02,14.99,13.76,Ru,
0.0221172,11.43,10.35,Ru,
0.0221172,68.76,27.0,Ru,K
0.03,31.39,16.89,Ru,
0.04,14.52,9.251,Ru,
0.05,7.926,5.477,Ru,
0.06,4.822,3.476,Ru,
0.08,2.215,1.641,Ru,
0.1,1.232,0.9012,Ru,
0.15,0.4647,0.3037,Ru,
0.2,0.2618,0.1475,Ru,
0.3,0.144,0.06445,Ru,
0.4,0.1074,0.04355,Ru,
0.5,0.08992,0.03567,Ru,
0.6,0.07933,0.03182,Ru,
0.8,0.06647,0.02796,Ru,
1.0,0.05846,0.02581,Ru,
1.25,0.05166,0.02393,Ru,
1.5,0.0471,0.02262,Ru,
2.0,0.04164,0.02115,Ru,
3.0,0.03692,0.02052,Ru,
4.0,0.03527,0.02098,Ru,
5.0,0.03482,0.02176,Ru,
6.0,0.03491,0.02259,Ru,
8.0,0.03591,0.02419,Ru,
10.0,0.0373,0.02556,Ru,
15.0,0.04084,0.02783,Ru,
20.0,0.04387,0.02893,Ru,
0.001,6169.0,6160.0,Rh,
0.0015,2426.0,2419.0,Rh,
0.002,1214.0,1207.0,Rh,
0.003,444.1,438.2,Rh,
0.0030038,442.7,436.8,Rh,
0.0030038,1513.0,1461.0,Rh,L3
0.00307413,1422.0,1372.0,Rh,
0.0031461,1337.0,1292.0,Rh,
0.0031461,1847.0,1777.0,Rh,L2
0.00327631,1671.0,1608.0,Rh,
0.0034119,1512.0,1458.0,Rh,
0.0034119,1731.0,1669.0,Rh,L1
0.004,1170.0,1132.0,Rh,
0.005,658.9,639.6,Rh,
0.006,410.1,398.5,Rh,
0.008,191.5,185.7,Rh,
0.01,105.3,101.5,Rh,
0.015,35.18,33.22,Rh,
0.02,16.13,14.84,Rh,
0.0232199,10.79,9.736,Rh,
0.0232199,64.14,24.58,Rh,K
0.03,33.3,16.99,Rh,
0.04,15.44,9.52,Rh,
0.05,8.448,5.706,Rh,
0.06,5.147,3.649,Rh,
0.08,2.365,1.737,Rh,
0.1,1.314,0.9581,Rh,
0.15,0.4916,0.3241,Rh,
0.2,0.2742,0.1571,Rh,
0.3,0.1485,0.06776,Rh,
0.4,0.1097,0.04517,Rh,
0.5,0.09134,0.03663,Rh,
0.6,0.08035,0.03247,Rh,
0.8,0.06711,0.02834,Rh,
1.0,0.05894,0.02608,Rh,
1.25,0.05204,0.02413,Rh,
1.5,0.04744,0.02278,Rh,
2.0,0.04197,0.02131,Rh,
3.0,0.03728,0.02071,Rh,
4.0,0.03568,0.02122,Rh,
5.0,0.03529,0.02204,Rh,
6.0,0.03542,0.0229,Rh,
8.0,0.0365,0.02456,Rh,
10.0,0.03797,0.02597,Rh,
15.0,0.04166,0.02831,Rh,
20.0,0.04481,0.02943,Rh,
0.001,6538.0,6529.0,Pd,
0.0015,2579.0,2571.0,Pd,
0.002,1292.0,1285.0,Pd,
0.003,473.0,466.8,Pd,
0.0031733,410.6,404.7,Pd,
0.0031733,1355.0,1305.0,Pd,L3
0.00325085,1287.0,1238.0,Pd,
0.0033303,1215.0,1171.0,Pd,
0.0033303,1664.0,1597.0,Pd,L2
0.00346459,1518.0,1456.0,Pd,
0.0036043,1379.0,1326.0,Pd,
0.0036043,1582.0,1520.0,Pd,L1
0.004,1227.0,1182.0,Pd,
0.005,691.2,668.8,Pd,
0.006,430.8,417.5,Pd,
0.008,201.7,195.3,Pd,
0.01,111.0,107.0,Pd,
0.015,37.15,35.11,Pd,
0.02,17.04,15.71,Pd,
0.0243503,10.03,9.016,Pd,
0.0243503,58.98,22.08,Pd,K
0.03,34.65,16.69,Pd,
0.04,16.14,9.611,Pd,
0.05,8.85,5.833,Pd,
0.06,5.399,3.759,Pd,
0.08,2.481,1.804,Pd,
0.1,1.377,1.0,Pd,
0.15,0.5115,0.3397,Pd,
0.2,0.2827,0.1644,Pd,
0.3,0.1506,0.07007,Pd,
0.4,0.1103,0.04611,Pd,
0.5,0.09134,0.03704,Pd,
0.6,0.0801,0.03262,Pd,
0.8,0.06669,0.02828,Pd,
1.0,0.05849,0.02594,Pd,
1.25,0.05159,0.02395,Pd,
1.5,0.04702,0.02259,Pd,
2.0,0.04162,0.02112,Pd,
3.0,0.03704,0.02056,Pd,
4.0,0.03552,0.02111,Pd,
5.0,0.03518,0.02196,Pd,
6.0,0.03537,0.02284,Pd,
8.0,0.03651,0.02453,Pd,
10.0,0.03802,0.02595,Pd,
15.0,0.04181,0.02832,Pd,
20.0,0.04501,0.02944,Pd,
0.001,7039.0,7029.0,Ag,
0.0015,2790.0,2782.0,Ag,
0.002,1401.0,1393.0,Ag,
0.003,513.6,507.3,Ag,
0.0033511,388.7,382.7,Ag,
0.0033511,1274.0,1223.0,Ag,L3
0.00343632,1200.0,1151.0,Ag,
0.0035237,1126.0,1082.0,Ag,
0.0035237,1547.0,1479.0,Ag,L2
0.00366203,1409.0,1348.0,Ag,
0.0038058,1282.0,1229.0,Ag,
0.0038058,1468.0,1406.0,Ag,L1
0.004,1305.0,1252.0,Ag,
0.005,738.5,712.2,Ag,
0.006,461.0,445.7,Ag,
0.008,216.4,209.2,Ag,
0.01,119.3,114.9,Ag,
0.015,39.98,37.8,Ag,
0.02,18.36,16.95,Ag,
0.025514,9.527,8.534,Ag,
0.025514,55.39,20.31,Ag,K
0.03,36.68,16.6,Ag,
0.04,17.2,9.869,Ag,
0.05,9.444,6.066,Ag,
0.06,5.766,3.938,Ag,
0.08,2.651,1.907,Ag,
0.1,1.47,1.062,Ag,
0.15,0.5426,0.3622,Ag,
0.2,0.2972,0.1751,Ag,
0.3,0.156,0.07392,Ag,
0.4,0.1131,0.04803,Ag,
0.5,0.09321,0.03822,Ag,
0.6,0.08153,0.03347,Ag,
0.8,0.06766,0.02881,Ag,
1.0,0.05921,0.02632,Ag,
1.25,0.05217,0.02425,Ag,
1.5,0.04754,0.02284,Ag,
2.0,0.04209,0.02135,Ag,
3.0,0.03754,0.02082,Ag,
4.0,0.03606,0.02142,Ag,
5.0,0.03577,0.02232,Ag,
6.0,0.03601,0.02324,Ag,
8.0,0.03723,0.02499,Ag,
10.0,0.03882,0.02647,Ag,
15.0,0.04276,0.02889,Ag,
20.0,0.04609,0.03005,Ag,
0.001,7350.0,7340.0,Cd,
0.0015,2931.0,2922.0,Cd,
0.002,1473.0,1466.0,Cd,
0.003,541.4,535.0,Cd,
0.0035375,357.5,351.7,Cd,
0.0035375,1152.0,1103.0,Cd,L3
0.00363101,1083.0,1036.0,Cd,
0.003727,1013.0,971.5,Cd,
0.003727,1389.0,1324.0,Cd,L2
0.004,1170.0,1118.0,Cd,
0.004018,1157.0,1106.0,Cd,
0.004018,1324.0,1264.0,Cd,L1
0.005,768.5,738.3,Cd,
0.006,479.3,461.9,Cd,
0.008,225.4,217.4,Cd,
0.01,124.4,119.7,Cd,
0.015,41.78,39.52,Cd,
0.02,19.2,17.76,Cd,
0.0267112,8.809,7.863,Cd,
0.0267112,50.65,18.21,Cd,K
0.03,37.65,15.94,Cd,
0.04,17.78,9.812,Cd,
0.05,9.779,6.115,Cd,
0.06,5.975,4.001,Cd,
0.08,2.751,1.957,Cd,
0.1,1.524,1.096,Cd,
0.15,0.5593,0.3753,Cd,
0.2,0.3038,0.1813,Cd,
0.3,0.1571,0.0758,Cd,
0.4,0.1129,0.04868,Cd,
0.5,0.0925,0.03838,Cd,
0.6,0.08064,0.03339,Cd,
0.8,0.0667,0.02854,Cd,
1.0,0.05826,0.02597,Cd,
1.25,0.05129,0.02387,Cd,
1.5,0.04673,0.02247,Cd,
2.0,0.04139,0.02099,Cd,
3.0,0.03698,0.02051,Cd,
4.0,0.03559,0.02114,Cd,
5.0,0.03536,0.02206,Cd,
6.0,0.03563,0.023,Cd,
8.0,0.03691,0.02477,Cd,
10.0,0.03853,0.02625,Cd,
15.0,0.04253,0.02869,Cd,
20.0,0.04587,0.02985,Cd,
0.001,7809.0,7797.0,In,
0.0015,3131.0,3122.0,In,
0.002,1578.0,1570.0,In,
0.003,580.8,574.3,In,
0.0037301,335.6,329.8,In,
0.0037301,1046.0,998.9,In,L3
0.00383264,993.0,946.5,In,
0.003938,931.3,890.5,In,
0.003938,1261.0,1199.0,In,L2
0.004,1231.0,1170.0,In,
0.0042375,1066.0,1016.0,In,
0.0042375,1223.0,1164.0,In,L1
0.005,813.4,778.0,In,
0.006,507.2,487.1,In,
0.008,239.1,230.1,In,
0.01,132.1,126.9,In,
0.015,44.45,42.06,In,
0.02,20.44,18.93,In,
0.0279399,8.316,7.395,In,
0.0279399,47.33,16.7,In,K
0.03,39.49,15.53,In,
0.04,18.73,9.911,In,
0.05,10.3,6.262,In,
0.06,6.306,4.135,In,
0.08,2.907,2.043,In,
0.1,1.609,1.15,In,
0.15,0.5876,0.396,In,
0.2,0.3167,0.1913,In,
0.3,0.1614,0.07923,In,
0.4,0.1149,0.05031,In,
0.5,0.09371,0.03932,In,
0.6,0.08138,0.03398,In,
0.8,0.06707,0.02883,In,
1.0,0.05849,0.02615,In,
1.25,0.05144,0.02398,In,
1.5,0.04684,0.02254,In,
2.0,0.04151,0.02105,In,
3.0,0.03715,0.0206,In,
4.0,0.03582,0.02127,In,
5.0,0.03564,0.02223,In,
6.0,0.03596,0.02321,In,
8.0,0.0373,0.02502,In,
10.0,0.03898,0.02653,In,
15.0,0.04311,0.02903,In,
20.0,0.04654,0.0302,In,
0.001,8157.0,8144.0,Sn,
0.0015,3296.0,3287.0,Sn,
0.002,1665.0,1657.0,Sn,
0.003,614.3,607.7,Sn,
0.0039288,311.4,305.8,Sn,
0.0039288,928.5,884.5,Sn,L3
0.004,939.3,894.5,Sn,
0.0041561,846.9,807.4,Sn,
0.0041561,1145.0,1084.0,Sn,L2
0.00430764,1060.0,1002.0,Sn,
0.0044647,971.2,922.1,Sn,
0.0044647,1117.0,1059.0,Sn,L1
0.005,847.1,806.4,Sn,
0.006,529.4,506.5,Sn,
0.008,250.0,240.0,Sn,
0.01,138.4,132.7,Sn,
0.015,46.64,44.13,Sn,
0.02,21.46,19.9,Sn,
0.0292001,7.76,6.876,Sn,
0.0292001,43.6,15.14,Sn,K
0.03,41.21,14.9,Sn,
0.04,19.42,9.835,Sn,
0.05,10.7,6.314,Sn,
0.06,6.564,4.211,Sn,
0.08,3.029,2.101,Sn,
0.1,1.676,1.189,Sn,
0.15,0.6091,0.4119,Sn,
0.2,0.326,0.199,Sn,
0.3,0.1639,0.08179,Sn,
0.4,0.1156,0.05138,Sn,
0.5,0.09374,0.0398,Sn,
0.6,0.08113,0.03417,Sn,
0.8,0.06662,0.02878,Sn,
1.0,0.058,0.02601,Sn,
1.25,0.05095,0.02379,Sn,
1.5,0.04638,0.02233,Sn,
2.0,0.04112,0.02085,Sn,
3.0,0.03686,0.02044,Sn,
4.0,0.03561,0.02115,Sn,
5.0,0.03548,0.02213,Sn,
6.0,0.03583,0.02312,Sn,
8.0,0.03724,0.02496,Sn,
10.0,0.03895,0.02649,Sn,
15.0,0.04315,0.02901,Sn,
20.0,0.04662,0.03018,Sn,
0.001,8582.0,8568.0,Sb,
0.0015,3491.0,3481.0,Sb,
0.002,1767.0,1759.0,Sb,
0.003,653.6,646.9,Sb,
0.004,316.9,311.3,Sb,
0.0041322,291.8,286.3,Sb,
0.0041322,869.1,825.2,Sb,L3
0.00425449,830.8,786.5,Sb,
0.0043804,777.6,739.2,Sb,
0.0043804,1050.0,990.6,Sb,L2
0.00453657,974.3,917.8,Sb,
0.0046983,893.9,845.7,Sb,
0.0046983,1029.0,972.5,Sb,L1
0.005,884.6,837.7,Sb,
0.006,556.9,530.5,Sb,
0.008,263.1,251.8,Sb,
0.01,145.9,139.6,Sb,
0.015,49.23,46.57,Sb,
0.02,22.68,21.05,Sb,
0.03,7.631,6.755,Sb,
0.0304912,7.307,6.452,Sb,
0.0304912,40.73,13.91,Sb,K
0.04,20.27,9.789,Sb,
0.05,11.2,6.4,Sb,
0.06,6.879,4.311,Sb,
0.08,3.176,2.173,Sb,
0.1,1.758,1.237,Sb,
0.15,0.6361,0.4312,Sb,
0.2,0.3381,0.2084,Sb,
0.3,0.1677,0.08504,Sb,
0.4,0.1172,0.05288,Sb,
0.5,0.09453,0.04061,Sb,
0.6,0.08153,0.03465,Sb,
0.8,0.0667,0.02896,Sb,
1.0,0.05797,0.02608,Sb,
1.25,0.05086,0.02378,Sb,
1.5,0.04628,0.0223,Sb,
2.0,0.04105,0.02081,Sb,
3.0,0.03686,0.02043,Sb,
4.0,0.03567,0.02118,Sb,
5.0,0.03559,0.02219,Sb,
6.0,0.03598,0.02321,Sb,
8.0,0.03745,0.02509,Sb,
10.0,0.03921,0.02664,Sb,
15.0,0.04351,0.0292,Sb,
20.0,0.04704,0.03038,Sb,
0.001,8434.0,8419.0,Te,
0.001003,8380.0,8365.0,Te,
0.001006,8326.0,8311.0,Te,
0.001006,8684.0,8668.0,Te,M1
0.0015,3608.0,3598.0,Te,
0.002,1832.0,1824.0,Te,
0.003,679.2,672.6,Te,
0.004,329.7,324.0,Te,
0.0043414,267.8,262.5,Te,
0.0043414,788.2,746.0,Te,L3
0.00447465,750.4,707.8,Te,
0.004612,699.5,662.9,Te,
0.004612,944.5,888.0,Te,L2
0.0047728,878.2,823.7,Te,
0.0049392,806.2,760.0,Te,
0.0049392,929.2,874.4,Te,L1
0.005,901.4,848.7,Te,
0.006,572.1,542.3,Te,
0.008,270.2,257.8,Te,
0.01,150.1,143.3,Te,
0.015,50.78,48.02,Te,
0.02,23.41,21.75,Te,
0.03,7.878,6.997,Te,
0.0318138,6.738,5.929,Te,
0.0318138,37.19,12.51,Te,K
0.04,20.64,9.48,Te,
0.05,11.45,6.33,Te,
0.06,7.041,4.306,Te,
0.08,3.255,2.195,Te,
0.1,1.801,1.256,Te,
0.15,0.6492,0.4409,Te,
0.2,0.3429,0.2132,Te,
0.3,0.1679,0.08646,Te,
0.4,0.1163,0.05326,Te,
0.5,0.09328,0.04055,Te,
0.6,0.08022,0.0344,Te,
0.8,0.06538,0.02854,Te,
1.0,0.05669,0.02559,Te,
1.25,0.04967,0.02327,Te,
1.5,0.04518,0.02179,Te,
2.0,0.04009,0.02033,Te,
3.0,0.03606,0.01998,Te,
4.0,0.03494,0.02075,Te,
5.0,0.03492,0.02177,Te,
6.0,0.03534,0.02279,Te,
8.0,0.03683,0.02466,Te,
10.0,0.0386,0.0262,Te,
15.0,0.0429,0.02873,Te,
20.0,0.04642,0.02989,Te,
0.001,9096.0,9078.0,I,
0.00103542,8465.0,8448.0,I,
0.0010721,7863.0,7847.0,I,
0.0010721,8198.0,8181.0,I,M1
0.0015,3919.0,3908.0,I,
0.002,1997.0,1988.0,I,
0.003,742.0,735.1,I,
0.004,360.7,354.8,I,
0.0045571,259.2,253.7,I,
0.0045571,755.0,712.1,I,L3
0.00470229,712.3,672.4,I,
0.0048521,663.6,627.0,I,
0.0048521,894.3,837.5,I,L2
0.005,843.0,790.3,I,
0.0051881,766.5,719.8,I,
0.0051881,883.7,828.3,I,L1
0.006,617.3,582.2,I,
0.008,292.2,277.7,I,
0.01,162.6,154.8,I,
0.015,55.12,52.08,I,
0.02,25.43,23.63,I,
0.03,8.561,7.622,I,
0.0331694,6.553,5.744,I,
0.0331694,35.82,11.88,I,K
0.04,22.1,9.616,I,
0.05,12.32,6.573,I,
0.06,7.579,4.518,I,
0.08,3.51,2.331,I,
0.1,1.942,1.342,I,
0.15,0.6978,0.4742,I,
0.2,0.3663,0.2295,I,
0.3,0.1771,0.09257,I,
0.4,0.1217,0.0565,I,
0.5,0.09701,0.04267,I,
0.6,0.08313,0.03598,I,
0.8,0.06749,0.02962,I,
1.0,0.05841,0.02646,I,
1.25,0.05111,0.02399,I,
1.5,0.04647,0.02243,I,
2.0,0.04124,0.02092,I,
3.0,0.03716,0.02059,I,
4.0,0.03607,0.02142,I,
5.0,0.03608,0.0225,I,
6.0,0.03655,0.02357,I,
8.0,0.03815,0.02553,I,
10.0,0.04002,0.02714,I,
15.0,0.04455,0.0298,I,
20.0,0.04823,0.03101,I,
0.001,9413.0,9393.0,Xe,
0.00107191,8151.0,8132.0,Xe,
0.001149,7035.0,7019.0,Xe,
0.001149,7338.0,7321.0,Xe,M1
0.0015,4085.0,4073.0,Xe,
0.002,2088.0,2078.0,Xe,
0.003,778.0,770.9,Xe,
0.004,378.7,372.8,Xe,
0.0047822,240.8,235.5,Xe,
0.0047822,694.1,652.4,Xe,L3
0.005,639.2,601.5,Xe,
0.0051037,604.4,569.3,Xe,
0.0051037,818.1,763.0,Xe,L2
0.00527536,757.9,707.9,Xe,
0.0054528,699.1,653.9,Xe,
0.0054528,806.4,752.7,Xe,L1
0.006,637.6,597.9,Xe,
0.008,303.2,287.1,Xe,
0.01,169.0,160.5,Xe,
0.015,57.43,54.2,Xe,
0.02,26.52,24.65,Xe,
0.03,8.93,7.969,Xe,
0.0345614,6.129,5.352,Xe,
0.0345614,33.16,10.86,Xe,K
0.04,22.7,9.323,Xe,
0.05,12.72,6.54,Xe,
0.06,7.825,4.541,Xe,
0.08,3.633,2.374,Xe,
0.1,2.011,1.376,Xe,
0.15,0.7202,0.4894,Xe,
0.2,0.376,0.2373,Xe,
0.3,0.1797,0.09522,Xe,
0.4,0.1223,0.05761,Xe,
0.5,0.09699,0.04317,Xe,
0.6,0.08281,0.03617,Xe,
0.8,0.06696,0.02956,Xe,
1.0,0.05785,0.0263,Xe,
1.25,0.05054,0.02378,Xe,
1.5,0.04594,0.02221,Xe,
2.0,0.04078,0.0207,Xe,
3.0,0.03681,0.02042,Xe,
4.0,0.03577,0.02128,Xe,
5.0,0.03583,0.0224,Xe,
6.0,0.03634,0.0235,Xe,
8.0,0.03797,0.02553,Xe,
10.0,0.03987,0.0272,Xe,
15.0,0.04445,0.03002,Xe,
20.0,0.04815,0.03139,Xe,
0.001,9365.0,9343.0,Cs,
0.00103199,8775.0,8754.0,Cs,
0.001065,8214.0,8194.0,Cs,
0.001065,8685.0,8663.0,Cs,M2
0.00113851,7576.0,7557.0,Cs,
0.0012171,6584.0,6567.0,Cs,
0.0012171,6888.0,6870.0,Cs,M1
0.0015,4335.0,4322.0,Cs,
0.002,2226.0,2216.0,Cs,
0.003,831.9,824.6,Cs,
0.004,405.5,399.4,Cs,
0.005,230.3,225.1,Cs,
0.0050119,229.0,223.7,Cs,
0.0050119,667.4,624.8,Cs,L3
0.00518274,618.4,576.3,Cs,
0.0053594,564.5,529.9,Cs,
0.0053594,769.2,714.2,Cs,L2
0.00553401,714.6,661.0,Cs,
0.0057143,655.6,610.8,Cs,
0.0057143,754.7,701.5,Cs,L1
0.006,671.1,625.3,Cs,
0.008,321.4,302.9,Cs,
0.01,179.3,169.7,Cs,
0.015,61.04,57.53,Cs,
0.02,28.22,26.23,Cs,
0.03,9.507,8.502,Cs,
0.0359846,5.863,5.102,Cs,
0.0359846,31.43,10.17,Cs,K
0.04,23.81,9.185,Cs,
0.05,13.4,6.618,Cs,
0.06,8.248,4.653,Cs,
0.08,3.836,2.464,Cs,
0.1,2.124,1.438,Cs,
0.15,0.7589,0.5154,Cs,
0.2,0.3941,0.2502,Cs,
0.3,0.1863,0.1,Cs,
0.4,0.1257,0.06003,Cs,
0.5,0.09912,0.04463,Cs,
0.6,0.08431,0.03717,Cs,
0.8,0.06789,0.03014,Cs,
1.0,0.05854,0.02671,Cs,
1.25,0.05108,0.02408,Cs,
1.5,0.04641,0.02246,Cs,
2.0,0.04121,0.02091,Cs,
3.0,0.03725,0.02064,Cs,
4.0,0.03625,0.02153,Cs,
5.0,0.03635,0.02268,Cs,
6.0,0.03689,0.0238,Cs,
8.0,0.0386,0.02583,Cs,
10.0,0.04057,0.0275,Cs,
15.0,0.04529,0.03026,Cs,
20.0,0.0491,0.03152,Cs,
0.001,8543.0,8521.0,Ba,
0.00103063,7990.0,7969.0,Ba,
0.0010622,7465.0,7445.0,Ba,
0.0010622,8547.0,8524.0,Ba,M3
0.00109882,7957.0,7935.0,Ba,
0.0011367,7404.0,7384.0,Ba,
0.0011367,7837.0,7815.0,Ba,M2
0.00121224,6861.0,6841.0,Ba,
0.0012928,5985.0,5968.0,Ba,
0.0012928,6255.0,6237.0,Ba,M1
0.0015,4499.0,4485.0,Ba,
0.002,2319.0,2308.0,Ba,
0.003,869.6,862.2,Ba,
0.004,424.6,418.4,Ba,
0.005,241.4,236.1,Ba,
0.005247,213.5,208.4,Ba,
0.005247,609.8,568.9,Ba,L3
0.00543204,563.4,526.3,Ba,
0.0056236,516.9,483.5,Ba,
0.0056236,701.6,648.6,Ba,L2
0.00580333,650.7,602.5,Ba,
0.0059888,601.3,557.7,Ba,
0.0059888,693.0,641.2,Ba,L1
0.006,689.8,638.3,Ba,
